asin,Title,Rating,NumberOfReviews,Price
B00HURFGBO,"San Francisco Bay Coffee OneCUP Organic Rainforest Blend 120 Ct Medium Dark Roast Compostable Coffee Pods, K Cup Compatible including Keurig 2.0",4.6,"88,530 ratings",
B079V9JDQB,"Amazon Brand - 100 Ct. Solimo Dark Roast Coffee Pods, French Roast, Compatible with Keurig 2.0 K-Cup Brewers",4.5,"146,590 ratings",
B00AD60574,"Kauai Whole Bean Coffee, Koloa Estate Medium Roast – 100% Arabica Whole Bean Coffee from Hawaii’s Largest Coffee Grower - Bright Aroma with Light Floral Notes (32 Ounces)",4.5,"4,951 ratings",
B07VS1BXZJ,"Folgers Coffee, Classic(Medium) Roast, 51 Ounce",4.5,105 ratings,
B01FKO79AO,Starbucks Ground Coffee—Dark Roast Coffee—Sumatra—100% Arabica—6 bags (12 oz each),4.7,"13,025 ratings",
B07XZXHXYV,San Francisco Bay Coffee Organic Rainforest Blend Whole Bean 2LB (32 Ounce) Medium Dark Roast,4.5,"18,735 ratings",
B07GNZZ25C,"Caribou Coffee Caribou Blend, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 24 Count (Pack of 4)",4.8,"1,892 ratings",
B07YF7RMMJ,"Dunkin' Decaf Medium Roast Coffee, 88 Keurig K-Cup Pods",4.8,"5,999 ratings",
B006IOKA84,"San Francisco Bay Coffee Coffee Onecup Fog Chaser 36 Ct Medium Dark Roast Compostable Pods, K Cup Compatible including Keurig 2.0, 36 Count",4.6,"88,530 ratings",
B08R49R882,"Starbucks by Nespresso Medium Roast Single-Origin Colombia Coffee (32-count single serve capsules, compatible with Nespresso Vertuo Line System)",4.7,"9,673 ratings",
B0768N976P,"Nespresso Capsules VertuoLine, Odacio, Dark Roast Coffee, 30 Count (Pack of 3)Brews 7.77 Ounce",4.8,"8,919 ratings",
B0084CO2W8,Maxwell House The Original Roast Medium Roast Ground Coffee (30.6 oz Canister),4.7,"12,494 ratings",
B07NXRQMVW,"Amazon Brand - 100 Ct. Happy Belly Light Roast Coffee Pods, Hazelnut Flavored, Compatible with Keurig 2.0 K-Cup Brewers",4.5,"50,424 ratings",
B007TGDXNO,"SAN FRANCISCO BAY SF Coffee OneCUP /Dark Roast Compostable Coffee Pods, K Cup Compatible Including Keurig 2.0 (Packaging May Vary), French Roast, 80 Count (Pack of 1)",4.6,"88,530 ratings",
B07NZTX694,"Amazon Brand - 100 Ct. Happy Belly Light Roast Coffee Pods, Breakfast Blend, Compatible with Keurig 2.0 K-Cup Brewers",4.5,"50,424 ratings",
B07171HMF5,"Mt. Comfort Coffee Organic Peru Medium Roast, 2.5 lb Bag - Flavor Notes of Nutty, Chocolate, & Citrus - Sourced From Small, Peruvian Coffee Farms - Roasted Whole Beans",4.5,"1,213 ratings",
B0757XZJPG,"Eight O'Clock Coffee Dark Italian Espresso, Dark Roast, Whole Bean Coffee, 32 Ounce (Pack of 1), 100% Arabica, Kosher Certified",4.6,"17,885 ratings",
B000FV5F4U,Half a Dozen Cans (6 Cans) of Coffee Du Monde - 15 oz. cans,4.8,"2,690 ratings",
B07PCT3TVP,"Folgers Coffee, Classic(Medium) Roast, 51 Ounce",4.8,"14,394 ratings",
B07BBWXW2D,"Colonial Coffee Packets, Pre Ground Coffee Packs, Signature Breakfast Blend Medium Roast, Bulk Single Pot Bags for Drip Coffee Makers, (2.5 oz Bags, Pack of 32)",4.5,"1,099 ratings",
B00EV513TC,"Santo Domingo Coffee, 16 oz Bag, Ground Coffee - Product from the Dominican Republic… (Pack of 4)",4.8,"3,860 ratings",
B009NKX7N0,Starbucks VIA Instant Coffee—Dark Roast Coffee—Italian Roast—100% Arabica—1 box (50 packets),4.6,"13,726 ratings",
B005OJ4X32,"Lavazza Espresso Barista Gran Crema Whole Bean Coffee Blend, Medium Espresso Roast, Oz Bag (Packaging May Vary) Barista Gran Crema - 2.2 LB, 35.2 Ounce",4.6,"72,527 ratings",
B07GCNDL91,McCafe Decaf Premium Medium Roast K-Cup Coffee Pods 84 Count,4.7,"62,098 ratings",
B00VEIPK7A,"Green Mountain Coffee Roasters Caramel Vanilla Cream, Single-Serve Keurig K-Cup Pods, Flavored Light Roast Coffee, 96 Count",4.8,"28,130 ratings",
B07CZW2CG5,McCafé Premium Medium Roast Ground Coffee (24 oz Canister),4.7,"10,390 ratings",
B07R36NQ1Z,"illy 100% Arabica Bean Signature Italian Blend Roasted Single Serve Drip Brewed Coffee K Cup Pods, Classico Medium Roast, 32Count",4.7,"10,592 ratings",
B07HRVYPJ7,"illy Classico Whole Bean Coffee, Medium Roast, Classic Roast with Notes Of Caramel, Orange Blossom and Jasmine, 100% Arabica Coffee, No Preservatives, 8.8 Ounce (Pack of 6)",4.6,"6,605 ratings",
B01N0DSRJC,"Victor Allen's Coffee Variety Pack, Light-Dark Roasts, 42 Count, Single Serve Coffee Pods for Keurig K-Cup Brewers",4.5,"47,689 ratings",
B07M7PQDH3,"Crave Beverages Flavored Coffee Pods Sampler, Compatible with 2.0 K-Cup Brewers, Assorted Variety Pack, 100 Count",4.4,"43,296 ratings",
B076ZZ1FGP,Don Francisco's Vanilla Nut Flavored Ground Coffee (3 x12 oz Cans),4.7,"8,852 ratings",
B00474ARU8,San Francisco Bay Coffee Fog Chaser Whole Bean 2LB (32 Ounce) Medium Dark Roast,4.5,"18,735 ratings",
B01BVJ7K6A,"Krispy Kreme Classic, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 96 Count",4.7,"14,109 ratings",
B07B48LJPB,Starbucks Ground Coffee—Medium Roast Coffee—Pike Place Roast—100% Arabica—1 bag (28 oz),4.7,"17,480 ratings",
B00NA799RK,"Green Mountain Coffee Roasters Dark Magic, Single-Serve Keurig K-Cup Pods, Dark Roast Coffee, 48 Count",4.8,"27,489 ratings",
B06VWK65H8,"Peet's Coffee, Dark Roast K-Cup Pods for Keurig Brewers - French Roast 54 Count (1 Box of 54 K-Cup Pods) Packaging May Vary",4.8,"5,638 ratings",
B0851ZQCX6,"Nespresso Capsules VertuoLine, Barista Flavored Pack, Mild Roast Coffee, 30 Count Coffee Pods, Brews 7.77 Ounce",4.7,"36,303 ratings", 37.55 
B07NVT454B,"San Francisco Bay Coffee OneCUP Assorted Variety Pack 80 Ct Compostable Coffee Pods, K Cup Compatible including Keurig 2.0",4.6,"88,530 ratings",
B079VC7NLP,"Amazon Brand - 100 Ct. Solimo Medium Roast Coffee Pods, Kona Blend, Compatible with Keurig 2.0 K-Cup Brewers",4.5,"146,590 ratings",
B00I5FWWS0,"Caribou Coffee Caribou Blend, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 72 Count",4.8,"10,860 ratings",
B01L9YE808,"Copper Moon Whole Bean Coffee, Dark Roast, Sumatra Blend, 2 Lb",4.4,"3,516 ratings",
B079V8CKDM,"Amazon Brand - 100 Ct. Solimo Dark Roast Coffee Pods, Compatible with Keurig 2.0 K-Cup Brewers 100 Count(Pack of 1)",4.5,"146,590 ratings",
B007Y59HVM,"San Francisco Bay Coffee OneCUP Fog Chaser 80 Ct Medium Dark Roast Compostable Coffee Pods, K Cup Compatible including Keurig 2.0",4.6,"88,530 ratings",
B08BJP4HDH,"Stumptown Coffee Roasters, Organic Medium Roast Ground Coffee - Holler Mountain 12 Ounce Bag, Flavor Notes of Citrus Zest, Caramel and Hazelnut",4.3,"1,369 ratings",
B00I08JAYG,"The Original Donut Shop Keurig Single-Serve K-Cup Pods, Regular Medium Roast Coffee, 72 Count",4.7,"68,842 ratings",
B0937WJ68N,Maxwell House French Roast Dark Roast K-Cup Coffee Pods (84 ct Box),4.7,"28,195 ratings",
B0796G222F,"ITALIAN Dark Roast Whole bean – 5 LB Extra Strong Coffee - The World’s Strongest Coffee Beans | Classic Black Coffee, Breakfast, House Gourmet, Italian Espresso- Roasted in New York",4.5,"3,362 ratings",
B009GDBNF8,"Starbucks Pike Place Roast K Cups, 96-Count",4.7,"79,336 ratings",
B001M2BM34,"Newman's Own Organics Special Blend, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 96 Count",4.7,"17,434 ratings",
B00GLSFLMW,"Folgers 100% Colombian Decaf Medium Roast Coffee, 72 Keurig K-Cup Pods",4.8,"2,460 ratings",
B07FMY5L94,"Folgers 100% Colombian Medium Roast Ground Coffee, 24.2 Ounces (Pack of 6)",4.8,"14,394 ratings",
B006CQ1ZHI,Death Wish Coffee Dark Roast Grounds - 16 Oz - The World's Strongest Coffee - Bold & Intense Blend of Arabica & Robusta Beans - USDA Organic Ground Coffee - Dark Coffee for Morning Boost,4.6,"45,360 ratings",
B00CYS7X2O,"Folgers Classic Roast Medium Roast Coffee, 72 Keurig K-Cup Pods, 12 Count (Pack of 6)",4.8,"23,070 ratings",
